s0-dp,s1-dp,s2-dp,s3-dp,s4-dp,s5-dp,s6-dp,s7-dp,s8-dp,s9-dp,s10-dp,s11-dp,s12-dp,s13-dp,s14-dp,s15-dp
10.810799999999999,8.822,19.508200000000002,37.5861,39.5745,48.5963,55.760400000000004,47.4983,54.2737,46.626400000000004,50.387,43.237,37.7022,45.742599999999996,24.265900000000002,12.059700000000001
20.074099999999998,0.7034,11.3896,29.4675,31.4559,40.4777,47.6418,56.772800000000004,63.548199999999994,55.9009,59.6503,52.5002,46.9654,55.005900000000004,33.529199999999996,21.3229
32.2096,12.8574,4.3878,25.4034,27.3919,36.413599999999995,43.5777,66.4097,72.52489999999999,58.065,71.78580000000001,64.6358,59.1009,67.14139999999999,45.664699999999996,33.4585
33.4606,14.1084,5.6388,16.0044,17.992900000000002,27.014599999999998,34.1787,57.0107,63.1259,71.15469999999999,73.0368,65.88669999999999,60.3519,68.3924,46.915699999999994,34.7094
27.287599999999998,18.8183,12.411,10.3799,11.129,21.6212,28.7853,51.6173,57.7325,65.7613,77.2671,70.59660000000001,65.0618,73.1022,51.6256,39.4193
27.3465,26.6601,20.2529,9.534799999999999,4.7191,16.2886,23.4527,46.284699999999994,52.3999,60.4287,71.9345,61.1173,55.2498,63.279900000000005,43.767300000000006,31.5611
42.5886,44.4936,38.0863,27.3682,16.9742,5.8119,12.976,35.807900000000004,41.9231,49.9519,61.457699999999996,59.6601,53.7926,61.8227,50.2191,43.7869
41.789699999999996,41.0999,34.6926,23.9745,13.5805,2.4181999999999997,11.6283,34.460300000000004,40.5755,48.6043,60.110099999999996,57.718199999999996,51.8506,59.8807,48.2771,41.8449
46.9283,53.78,47.372800000000005,36.6547,26.2606,17.9885,19.3528,18.099,24.2142,32.243,43.7488,50.5793,55.7722,63.7783,52.364599999999996,45.505300000000005
58.3837,57.6938,51.2865,40.568400000000004,30.174400000000002,21.9022,11.095799999999999,35.761,41.8762,49.905,61.4108,68.2414,61.398,69.4281,57.4297,50.9975
51.7314,63.8039,68.9224,58.2042,47.810199999999995,39.538,28.7316,6.8869,13.0021,21.030900000000003,32.5367,39.3673,44.5601,52.566300000000005,46.9864,43.7648
6.5471,14.8496,25.523799999999998,25.9622,27.975,39.3008,44.1609,40.0186,46.794,39.146699999999996,49.089,41.939,36.404199999999996,44.4446,22.9679,10.761700000000001
58.529199999999996,67.4152,61.0079,50.2898,39.8957,31.6236,20.8171,19.419900000000002,25.5351,33.563900000000004,45.0697,51.9003,57.093199999999996,65.0993,54.473099999999995,50.5627
48.534,60.6065,68.1445,57.4264,47.032300000000006,38.7602,27.9537,6.109,2.7376,11.2013,22.707099999999997,29.5377,34.730599999999995,42.7367,43.789,40.5674
50.207,62.2795,72.9537,61.253699999999995,61.513400000000004,52.5934,42.4348,23.9456,11.9002,5.9235,17.429299999999998,24.259900000000002,29.4527,37.4589,45.462,42.2404
58.3916,70.4641,81.1383,71.4602,66.8479,62.7999,63.2984,44.8092,34.434400000000004,29.3848,12.3457,19.176299999999998,24.3692,32.375299999999996,39.6944,50.7173
50.6043,62.6768,73.3511,63.6729,59.0606,55.0126,55.5111,37.0219,26.6471,21.5975,4.5585,11.389,16.5819,24.588,31.9071,42.93
45.237300000000005,57.3098,67.984,69.1598,64.4542,60.406099999999995,61.331900000000005,42.842699999999994,32.4679,27.418400000000002,13.203,6.022,11.214799999999999,19.221,26.5401,37.563
40.4195,52.492,63.166199999999996,64.342,59.6364,55.588300000000004,56.5141,38.0249,27.6501,22.6006,8.385200000000001,1.2042,6.397,14.4032,21.7223,32.7451
36.2096,48.2821,58.9564,59.011900000000004,54.399699999999996,50.351699999999994,59.561800000000005,45.4613,34.445800000000006,29.3962,15.1808,8.030800000000001,2.1632,10.193299999999999,17.512400000000003,28.5353
27.3233,39.395900000000005,50.0701,51.2459,53.2587,54.4024,63.6126,50.4239,42.091,37.0414,22.826,15.676,10.1411,1.3071,8.6262,19.649
21.095,33.1675,43.841800000000006,45.0176,47.030300000000004,48.174099999999996,57.3842,44.1955,45.292199999999994,37.6449,30.7141,23.564,18.0292,26.0697,2.3978,13.4207
20.705299999999998,32.777800000000006,43.452,44.6278,46.6406,46.940599999999996,56.150800000000004,42.962,44.058699999999995,36.4114,29.3963,22.246299999999998,16.7114,24.751900000000003,1.2492999999999999,13.031
12.6099,24.6824,35.3566,36.5324,38.545199999999994,45.662699999999994,54.8729,44.007,50.782300000000006,43.135,44.467800000000004,37.317699999999995,31.7829,39.8234,18.346700000000002,4.9356
7.802899999999999,19.875400000000003,30.549599999999998,31.7254,33.7382,45.608,49.924099999999996,43.9522,50.7275,43.0803,49.055800000000005,41.905800000000006,36.3709,44.4114,22.9347,8.713
11.0921,15.475,26.1493,29.5091,31.521900000000002,42.5364,51.7465,40.8806,47.6559,40.0087,43.762800000000006,36.6127,31.077900000000003,39.118300000000005,17.641599999999997,5.4354
